Year,Station,Month,Rainfall,StationIndex
2015,Sylhet,1,16,31
2015,Sylhet,2,40,31
2015,Sylhet,3,28,31
2015,Sylhet,4,539,31
2015,Sylhet,5,747,31
2015,Sylhet,6,857,31
2015,Sylhet,7,644,31
2015,Sylhet,8,754,31
2015,Sylhet,9,832,31
2015,Sylhet,10,53,31
2015,Sylhet,11,4,31
2015,Sylhet,12,7,31
2016,Sylhet,1,11,31
2016,Sylhet,2,28,31
2016,Sylhet,3,134,31
2016,Sylhet,4,1004,31
2016,Sylhet,5,703,31
2016,Sylhet,6,657,31
2016,Sylhet,7,531,31
2016,Sylhet,8,396,31
2016,Sylhet,9,561,31
2016,Sylhet,10,158,31
2016,Sylhet,11,108,31
2016,Sylhet,12,5,31
